IPNAME,IPADDRESS,MAC,OWNER,PRIMARYUSER,GROUP
scooter-puppet.icl.utk.edu,160.36.131.106,00:0C:29:27:5A:29,luszczek,luszczek,icl
scooter-vm1.icl.utk.edu,160.36.131.217,00:0C:29:27:58:41,luszczek,luszczek,icl
scooter-xen.icl.utk.edu,160.36.131.109,00:16:3E:B9:E3:8F,luszczek,luszczek,icl
scooter.icl.utk.edu,160.36.131.132,24:B6:FD:F4:8E:28,luszczek,luszczek,icl
snapple.icl.utk.edu,160.36.131.131,00:17:F2:02:AC:FC,luszczek,luszczek,icl
sol.icl.utk.edu,160.36.131.130,00:19:B9:05:C6:6E,luszczek,luszczek,icl
sweetums.icl.utk.edu,160.36.131.104,38:EA:A7:A3:E1:87,luszczek,luszczek,icl
thog.icl.utk.edu,160.36.131.103,00:25:90:59:AD:4A,luszczek,luszczek,icl
tlee.icl.utk.edu,160.36.131.9,00:10:18:3D:58:02,luszczek,luszczek,icl
tracy.icl.utk.edu,160.36.131.10,00:21:5A:80:C9:96,luszczek,luszczek,icl
tracyc.icl.utk.edu,160.36.131.11,00:00:AA:A8:EF:F2,luszczek,luszczek,icl
tracyt.icl.utk.edu,160.36.131.29,60:33:4B:2F:47:DB,luszczek,luszczek,icl
uranus.icl.utk.edu,160.36.131.12,00:22:19:21:0C:B1,luszczek,luszczek,icl
vcenter.icl.utk.edu,160.36.131.105,00:0C:29:54:7F:E8,luszczek,luszczek,icl
venus.icl.utk.edu,160.36.131.154,90:B1:1C:54:D7:BC,luszczek,luszczek,icl
warewulf-pdu.icl.utk.edu,160.36.131.110,00:C0:B7:CF:6A:6B,luszczek,luszczek,icl
zeus.icl.utk.edu,160.36.131.128,00:21:5E:BF:4A:78,luszczek,luszczek,icl
zoot.icl.utk.edu,160.36.131.127,00:1E:4F:2E:22:A2,luszczek,luszczek,icl

